,Exch,ExchType,Scripcode,Name,Series,Expiry,CpType,StrikeRate,WireCat,ISIN,FullName,LotSize,AllowedToTrade,QtyLimit,Multiplier,Underlyer,Root,TickSize
30019,N,D,38059,BANKNIFTY 02 Jun 2022 CE 31300.00,XX,2022-06-02 14:30:00,CE,31300.0, ,BANKNIFTY,BANKNIFTY 02 Jun 2022 CE 31300.00,25,Y,1200,1,02 Jun 2022,BANKNIFTY,0.05
30021,N,D,38061,BANKNIFTY 02 Jun 2022 CE 31400.00,XX,2022-06-02 14:30:00,CE,31400.0, ,BANKNIFTY,BANKNIFTY 02 Jun 2022 CE 31400.00,25,Y,1200,1,02 Jun 2022,BANKNIFTY,0.05
30024,N,D,38064,BANKNIFTY 02 Jun 2022 CE 31500.00,XX,2022-06-02 14:30:00,CE,31500.0, ,BANKNIFTY,BANKNIFTY 02 Jun 2022 CE 31500.00,25,Y,1200,1,02 Jun 2022,BANKNIFTY,0.05
30027,N,D,38067,BANKNIFTY 02 Jun 2022 CE 31600.00,XX,2022-06-02 14:30:00,CE,31600.0, ,BANKNIFTY,BANKNIFTY 02 Jun 2022 CE 31600.00,25,Y,1200,1,02 Jun 2022,BANKNIFTY,0.05
36304,N,D,48735,BANKNIFTY 02 Jun 2022 CE 32800.00,XX,2022-06-02 14:30:00,CE,32800.0, ,BANKNIFTY,BANKNIFTY 02 Jun 2022 CE 32800.00,25,Y,1200,1,02 Jun 2022,BANKNIFTY,0.05
36306,N,D,48737,BANKNIFTY 02 Jun 2022 CE 32900.00,XX,2022-06-02 14:30:00,CE,32900.0, ,BANKNIFTY,BANKNIFTY 02 Jun 2022 CE 32900.00,25,Y,1200,1,02 Jun 2022,BANKNIFTY,0.05
36316,N,D,48747,BANKNIFTY 02 Jun 2022 CE 33000.00,XX,2022-06-02 14:30:00,CE,33000.0, ,BANKNIFTY,BANKNIFTY 02 Jun 2022 CE 33000.00,25,Y,1200,1,02 Jun 2022,BANKNIFTY,0.05
37300,N,D,48766,BANKNIFTY 02 Jun 2022 CE 33700.00,XX,2022-06-02 14:30:00,CE,33700.0, ,BANKNIFTY,BANKNIFTY 02 Jun 2022 CE 33700.00,25,Y,1200,1,02 Jun 2022,BANKNIFTY,0.05
37302,N,D,48768,BANKNIFTY 02 Jun 2022 CE 33800.00,XX,2022-06-02 14:30:00,CE,33800.0, ,BANKNIFTY,BANKNIFTY 02 Jun 2022 CE 33800.00,25,Y,1200,1,02 Jun 2022,BANKNIFTY,0.05
37306,N,D,48772,BANKNIFTY 02 Jun 2022 CE 33900.00,XX,2022-06-02 14:30:00,CE,33900.0, ,BANKNIFTY,BANKNIFTY 02 Jun 2022 CE 33900.00,25,Y,1200,1,02 Jun 2022,BANKNIFTY,0.05
37312,N,D,48778,BANKNIFTY 02 Jun 2022 CE 34000.00,XX,2022-06-02 14:30:00,CE,34000.0, ,BANKNIFTY,BANKNIFTY 02 Jun 2022 CE 34000.00,25,Y,1200,1,02 Jun 2022,BANKNIFTY,0.05
37319,N,D,48785,BANKNIFTY 02 Jun 2022 CE 34100.00,XX,2022-06-02 14:30:00,CE,34100.0, ,BANKNIFTY,BANKNIFTY 02 Jun 2022 CE 34100.00,25,Y,1200,1,02 Jun 2022,BANKNIFTY,0.05
37321,N,D,48787,BANKNIFTY 02 Jun 2022 CE 34200.00,XX,2022-06-02 14:30:00,CE,34200.0, ,BANKNIFTY,BANKNIFTY 02 Jun 2022 CE 34200.00,25,Y,1200,1,02 Jun 2022,BANKNIFTY,0.05
37325,N,D,48791,BANKNIFTY 02 Jun 2022 CE 34300.00,XX,2022-06-02 14:30:00,CE,34300.0, ,BANKNIFTY,BANKNIFTY 02 Jun 2022 CE 34300.00,25,Y,1200,1,02 Jun 2022,BANKNIFTY,0.05
37334,N,D,48800,BANKNIFTY 02 Jun 2022 CE 34400.00,XX,2022-06-02 14:30:00,CE,34400.0, ,BANKNIFTY,BANKNIFTY 02 Jun 2022 CE 34400.00,25,Y,1200,1,02 Jun 2022,BANKNIFTY,0.05
37336,N,D,48802,BANKNIFTY 02 Jun 2022 CE 34500.00,XX,2022-06-02 14:30:00,CE,34500.0, ,BANKNIFTY,BANKNIFTY 02 Jun 2022 CE 34500.00,25,Y,1200,1,02 Jun 2022,BANKNIFTY,0.05
37338,N,D,48804,BANKNIFTY 02 Jun 2022 CE 34600.00,XX,2022-06-02 14:30:00,CE,34600.0, ,BANKNIFTY,BANKNIFTY 02 Jun 2022 CE 34600.00,25,Y,1200,1,02 Jun 2022,BANKNIFTY,0.05
37340,N,D,48806,BANKNIFTY 02 Jun 2022 CE 34700.00,XX,2022-06-02 14:30:00,CE,34700.0, ,BANKNIFTY,BANKNIFTY 02 Jun 2022 CE 34700.00,25,Y,1200,1,02 Jun 2022,BANKNIFTY,0.05
37343,N,D,48809,BANKNIFTY 02 Jun 2022 CE 34800.00,XX,2022-06-02 14:30:00,CE,34800.0, ,BANKNIFTY,BANKNIFTY 02 Jun 2022 CE 34800.00,25,Y,1200,1,02 Jun 2022,BANKNIFTY,0.05
37349,N,D,48831,BANKNIFTY 02 Jun 2022 CE 35500.00,XX,2022-06-02 14:30:00,CE,35500.0, ,BANKNIFTY,BANKNIFTY 02 Jun 2022 CE 35500.00,25,Y,1200,1,02 Jun 2022,BANKNIFTY,0.05
37352,N,D,48834,BANKNIFTY 02 Jun 2022 CE 35600.00,XX,2022-06-02 14:30:00,CE,35600.0, ,BANKNIFTY,BANKNIFTY 02 Jun 2022 CE 35600.00,25,Y,1200,1,02 Jun 2022,BANKNIFTY,0.05
37358,N,D,48840,BANKNIFTY 02 Jun 2022 CE 35700.00,XX,2022-06-02 14:30:00,CE,35700.0, ,BANKNIFTY,BANKNIFTY 02 Jun 2022 CE 35700.00,25,Y,1200,1,02 Jun 2022,BANKNIFTY,0.05
95924,N,D,35191,BANKNIFTY 02 Jun 2022 CE 32000.00,XX,2022-06-02 14:30:00,CE,32000.0, ,BANKNIFTY,BANKNIFTY 02 Jun 2022 CE 32000.00,25,Y,1200,1,02 Jun 2022,BANKNIFTY,0.05
95926,N,D,35193,BANKNIFTY 02 Jun 2022 CE 32100.00,XX,2022-06-02 14:30:00,CE,32100.0, ,BANKNIFTY,BANKNIFTY 02 Jun 2022 CE 32100.00,25,Y,1200,1,02 Jun 2022,BANKNIFTY,0.05
95936,N,D,35203,BANKNIFTY 02 Jun 2022 CE 32200.00,XX,2022-06-02 14:30:00,CE,32200.0, ,BANKNIFTY,BANKNIFTY 02 Jun 2022 CE 32200.00,25,Y,1200,1,02 Jun 2022,BANKNIFTY,0.05
95976,N,D,35243,BANKNIFTY 02 Jun 2022 CE 32300.00,XX,2022-06-02 14:30:00,CE,32300.0, ,BANKNIFTY,BANKNIFTY 02 Jun 2022 CE 32300.00,25,Y,1200,1,02 Jun 2022,BANKNIFTY,0.05
95979,N,D,35246,BANKNIFTY 02 Jun 2022 CE 32400.00,XX,2022-06-02 14:30:00,CE,32400.0, ,BANKNIFTY,BANKNIFTY 02 Jun 2022 CE 32400.00,25,Y,1200,1,02 Jun 2022,BANKNIFTY,0.05
96156,N,D,35425,BANKNIFTY 02 Jun 2022 CE 32500.00,XX,2022-06-02 14:30:00,CE,32500.0, ,BANKNIFTY,BANKNIFTY 02 Jun 2022 CE 32500.00,25,Y,1200,1,02 Jun 2022,BANKNIFTY,0.05
96197,N,D,35466,BANKNIFTY 02 Jun 2022 CE 32600.00,XX,2022-06-02 14:30:00,CE,32600.0, ,BANKNIFTY,BANKNIFTY 02 Jun 2022 CE 32600.00,25,Y,1200,1,02 Jun 2022,BANKNIFTY,0.05
96351,N,D,35620,BANKNIFTY 02 Jun 2022 CE 32700.00,XX,2022-06-02 14:30:00,CE,32700.0, ,BANKNIFTY,BANKNIFTY 02 Jun 2022 CE 32700.00,25,Y,1200,1,02 Jun 2022,BANKNIFTY,0.05
98146,N,D,37463,BANKNIFTY 02 Jun 2022 CE 31000.00,XX,2022-06-02 14:30:00,CE,31000.0, ,BANKNIFTY,BANKNIFTY 02 Jun 2022 CE 31000.00,25,Y,1200,1,02 Jun 2022,BANKNIFTY,0.05
98148,N,D,37465,BANKNIFTY 02 Jun 2022 CE 31100.00,XX,2022-06-02 14:30:00,CE,31100.0, ,BANKNIFTY,BANKNIFTY 02 Jun 2022 CE 31100.00,25,Y,1200,1,02 Jun 2022,BANKNIFTY,0.05
98720,N,D,38069,BANKNIFTY 02 Jun 2022 CE 31700.00,XX,2022-06-02 14:30:00,CE,31700.0, ,BANKNIFTY,BANKNIFTY 02 Jun 2022 CE 31700.00,25,Y,1200,1,02 Jun 2022,BANKNIFTY,0.05
98722,N,D,38071,BANKNIFTY 02 Jun 2022 CE 31800.00,XX,2022-06-02 14:30:00,CE,31800.0, ,BANKNIFTY,BANKNIFTY 02 Jun 2022 CE 31800.00,25,Y,1200,1,02 Jun 2022,BANKNIFTY,0.05
98724,N,D,38073,BANKNIFTY 02 Jun 2022 CE 31900.00,XX,2022-06-02 14:30:00,CE,31900.0, ,BANKNIFTY,BANKNIFTY 02 Jun 2022 CE 31900.00,25,Y,1200,1,02 Jun 2022,BANKNIFTY,0.05
100751,N,D,40552,BANKNIFTY 02 Jun 2022 CE 31200.00,XX,2022-06-02 14:30:00,CE,31200.0, ,BANKNIFTY,BANKNIFTY 02 Jun 2022 CE 31200.00,25,Y,1200,1,02 Jun 2022,BANKNIFTY,0.05
105363,N,D,48750,BANKNIFTY 02 Jun 2022 CE 33100.00,XX,2022-06-02 14:30:00,CE,33100.0, ,BANKNIFTY,BANKNIFTY 02 Jun 2022 CE 33100.00,25,Y,1200,1,02 Jun 2022,BANKNIFTY,0.05
105365,N,D,48752,BANKNIFTY 02 Jun 2022 CE 33200.00,XX,2022-06-02 14:30:00,CE,33200.0, ,BANKNIFTY,BANKNIFTY 02 Jun 2022 CE 33200.00,25,Y,1200,1,02 Jun 2022,BANKNIFTY,0.05
105367,N,D,48754,BANKNIFTY 02 Jun 2022 CE 33300.00,XX,2022-06-02 14:30:00,CE,33300.0, ,BANKNIFTY,BANKNIFTY 02 Jun 2022 CE 33300.00,25,Y,1200,1,02 Jun 2022,BANKNIFTY,0.05
105369,N,D,48756,BANKNIFTY 02 Jun 2022 CE 33400.00,XX,2022-06-02 14:30:00,CE,33400.0, ,BANKNIFTY,BANKNIFTY 02 Jun 2022 CE 33400.00,25,Y,1200,1,02 Jun 2022,BANKNIFTY,0.05
105371,N,D,48758,BANKNIFTY 02 Jun 2022 CE 33500.00,XX,2022-06-02 14:30:00,CE,33500.0, ,BANKNIFTY,BANKNIFTY 02 Jun 2022 CE 33500.00,25,Y,1200,1,02 Jun 2022,BANKNIFTY,0.05
105375,N,D,48762,BANKNIFTY 02 Jun 2022 CE 33600.00,XX,2022-06-02 14:30:00,CE,33600.0, ,BANKNIFTY,BANKNIFTY 02 Jun 2022 CE 33600.00,25,Y,1200,1,02 Jun 2022,BANKNIFTY,0.05
105379,N,D,48814,BANKNIFTY 02 Jun 2022 CE 34900.00,XX,2022-06-02 14:30:00,CE,34900.0, ,BANKNIFTY,BANKNIFTY 02 Jun 2022 CE 34900.00,25,Y,1200,1,02 Jun 2022,BANKNIFTY,0.05
105381,N,D,48816,BANKNIFTY 02 Jun 2022 CE 35000.00,XX,2022-06-02 14:30:00,CE,35000.0, ,BANKNIFTY,BANKNIFTY 02 Jun 2022 CE 35000.00,25,Y,1200,1,02 Jun 2022,BANKNIFTY,0.05
105383,N,D,48818,BANKNIFTY 02 Jun 2022 CE 35100.00,XX,2022-06-02 14:30:00,CE,35100.0, ,BANKNIFTY,BANKNIFTY 02 Jun 2022 CE 35100.00,25,Y,1200,1,02 Jun 2022,BANKNIFTY,0.05
105388,N,D,48823,BANKNIFTY 02 Jun 2022 CE 35200.00,XX,2022-06-02 14:30:00,CE,35200.0, ,BANKNIFTY,BANKNIFTY 02 Jun 2022 CE 35200.00,25,Y,1200,1,02 Jun 2022,BANKNIFTY,0.05
105390,N,D,48825,BANKNIFTY 02 Jun 2022 CE 35300.00,XX,2022-06-02 14:30:00,CE,35300.0, ,BANKNIFTY,BANKNIFTY 02 Jun 2022 CE 35300.00,25,Y,1200,1,02 Jun 2022,BANKNIFTY,0.05
105394,N,D,48829,BANKNIFTY 02 Jun 2022 CE 35400.00,XX,2022-06-02 14:30:00,CE,35400.0, ,BANKNIFTY,BANKNIFTY 02 Jun 2022 CE 35400.00,25,Y,1200,1,02 Jun 2022,BANKNIFTY,0.05
105397,N,D,48848,BANKNIFTY 02 Jun 2022 CE 35800.00,XX,2022-06-02 14:30:00,CE,35800.0, ,BANKNIFTY,BANKNIFTY 02 Jun 2022 CE 35800.00,25,Y,1200,1,02 Jun 2022,BANKNIFTY,0.05
105400,N,D,48851,BANKNIFTY 02 Jun 2022 CE 35900.00,XX,2022-06-02 14:30:00,CE,35900.0, ,BANKNIFTY,BANKNIFTY 02 Jun 2022 CE 35900.00,25,Y,1200,1,02 Jun 2022,BANKNIFTY,0.05
105403,N,D,48854,BANKNIFTY 02 Jun 2022 CE 36000.00,XX,2022-06-02 14:30:00,CE,36000.0, ,BANKNIFTY,BANKNIFTY 02 Jun 2022 CE 36000.00,25,Y,1200,1,02 Jun 2022,BANKNIFTY,0.05
105434,N,D,48885,BANKNIFTY 02 Jun 2022 CE 36100.00,XX,2022-06-02 14:30:00,CE,36100.0, ,BANKNIFTY,BANKNIFTY 02 Jun 2022 CE 36100.00,25,Y,1200,1,02 Jun 2022,BANKNIFTY,0.05
