,Exch,ExchType,Scripcode,Name,Series,Expiry,CpType,StrikeRate,WireCat,ISIN,FullName
52895,N,D,53489,BANKNIFTY 24 Mar 2022 CE 36800.00,XX,2022-03-24 14:30:00,CE,36800.0, ,BANKNIFTY,BANKNIFTY 24 Mar 2022 CE 36800.00
52901,N,D,53495,BANKNIFTY 24 Mar 2022 CE 36900.00,XX,2022-03-24 14:30:00,CE,36900.0, ,BANKNIFTY,BANKNIFTY 24 Mar 2022 CE 36900.00
52911,N,D,53505,BANKNIFTY 24 Mar 2022 CE 37000.00,XX,2022-03-24 14:30:00,CE,37000.0, ,BANKNIFTY,BANKNIFTY 24 Mar 2022 CE 37000.00
52913,N,D,53507,BANKNIFTY 24 Mar 2022 CE 37100.00,XX,2022-03-24 14:30:00,CE,37100.0, ,BANKNIFTY,BANKNIFTY 24 Mar 2022 CE 37100.00
52918,N,D,53512,BANKNIFTY 24 Mar 2022 CE 37200.00,XX,2022-03-24 14:30:00,CE,37200.0, ,BANKNIFTY,BANKNIFTY 24 Mar 2022 CE 37200.00
52920,N,D,53514,BANKNIFTY 24 Mar 2022 CE 37300.00,XX,2022-03-24 14:30:00,CE,37300.0, ,BANKNIFTY,BANKNIFTY 24 Mar 2022 CE 37300.00
52926,N,D,53520,BANKNIFTY 24 Mar 2022 CE 37400.00,XX,2022-03-24 14:30:00,CE,37400.0, ,BANKNIFTY,BANKNIFTY 24 Mar 2022 CE 37400.00
52928,N,D,53522,BANKNIFTY 24 Mar 2022 CE 37500.00,XX,2022-03-24 14:30:00,CE,37500.0, ,BANKNIFTY,BANKNIFTY 24 Mar 2022 CE 37500.00
52933,N,D,53527,BANKNIFTY 24 Mar 2022 CE 37600.00,XX,2022-03-24 14:30:00,CE,37600.0, ,BANKNIFTY,BANKNIFTY 24 Mar 2022 CE 37600.00
52942,N,D,53536,BANKNIFTY 24 Mar 2022 CE 37700.00,XX,2022-03-24 14:30:00,CE,37700.0, ,BANKNIFTY,BANKNIFTY 24 Mar 2022 CE 37700.00
124388,N,D,53099,BANKNIFTY 24 Mar 2022 CE 34100.00,XX,2022-03-24 14:30:00,CE,34100.0, ,BANKNIFTY,BANKNIFTY 24 Mar 2022 CE 34100.00
124427,N,D,53138,BANKNIFTY 24 Mar 2022 CE 34200.00,XX,2022-03-24 14:30:00,CE,34200.0, ,BANKNIFTY,BANKNIFTY 24 Mar 2022 CE 34200.00
124433,N,D,53144,BANKNIFTY 24 Mar 2022 CE 34300.00,XX,2022-03-24 14:30:00,CE,34300.0, ,BANKNIFTY,BANKNIFTY 24 Mar 2022 CE 34300.00
124480,N,D,53191,BANKNIFTY 24 Mar 2022 CE 34400.00,XX,2022-03-24 14:30:00,CE,34400.0, ,BANKNIFTY,BANKNIFTY 24 Mar 2022 CE 34400.00
124533,N,D,53244,BANKNIFTY 24 Mar 2022 CE 34500.00,XX,2022-03-24 14:30:00,CE,34500.0, ,BANKNIFTY,BANKNIFTY 24 Mar 2022 CE 34500.00
124535,N,D,53246,BANKNIFTY 24 Mar 2022 CE 34600.00,XX,2022-03-24 14:30:00,CE,34600.0, ,BANKNIFTY,BANKNIFTY 24 Mar 2022 CE 34600.00
124539,N,D,53250,BANKNIFTY 24 Mar 2022 CE 34700.00,XX,2022-03-24 14:30:00,CE,34700.0, ,BANKNIFTY,BANKNIFTY 24 Mar 2022 CE 34700.00
124541,N,D,53252,BANKNIFTY 24 Mar 2022 CE 34800.00,XX,2022-03-24 14:30:00,CE,34800.0, ,BANKNIFTY,BANKNIFTY 24 Mar 2022 CE 34800.00
124543,N,D,53254,BANKNIFTY 24 Mar 2022 CE 34900.00,XX,2022-03-24 14:30:00,CE,34900.0, ,BANKNIFTY,BANKNIFTY 24 Mar 2022 CE 34900.00
124549,N,D,53260,BANKNIFTY 24 Mar 2022 CE 35000.00,XX,2022-03-24 14:30:00,CE,35000.0, ,BANKNIFTY,BANKNIFTY 24 Mar 2022 CE 35000.00
124605,N,D,53316,BANKNIFTY 24 Mar 2022 CE 35100.00,XX,2022-03-24 14:30:00,CE,35100.0, ,BANKNIFTY,BANKNIFTY 24 Mar 2022 CE 35100.00
124611,N,D,53322,BANKNIFTY 24 Mar 2022 CE 35200.00,XX,2022-03-24 14:30:00,CE,35200.0, ,BANKNIFTY,BANKNIFTY 24 Mar 2022 CE 35200.00
124666,N,D,53377,BANKNIFTY 24 Mar 2022 CE 35300.00,XX,2022-03-24 14:30:00,CE,35300.0, ,BANKNIFTY,BANKNIFTY 24 Mar 2022 CE 35300.00
124668,N,D,53379,BANKNIFTY 24 Mar 2022 CE 35400.00,XX,2022-03-24 14:30:00,CE,35400.0, ,BANKNIFTY,BANKNIFTY 24 Mar 2022 CE 35400.00
124670,N,D,53381,BANKNIFTY 24 Mar 2022 CE 35500.00,XX,2022-03-24 14:30:00,CE,35500.0, ,BANKNIFTY,BANKNIFTY 24 Mar 2022 CE 35500.00
124699,N,D,53410,BANKNIFTY 24 Mar 2022 CE 35600.00,XX,2022-03-24 14:30:00,CE,35600.0, ,BANKNIFTY,BANKNIFTY 24 Mar 2022 CE 35600.00
124702,N,D,53413,BANKNIFTY 24 Mar 2022 CE 35700.00,XX,2022-03-24 14:30:00,CE,35700.0, ,BANKNIFTY,BANKNIFTY 24 Mar 2022 CE 35700.00
124704,N,D,53415,BANKNIFTY 24 Mar 2022 CE 35800.00,XX,2022-03-24 14:30:00,CE,35800.0, ,BANKNIFTY,BANKNIFTY 24 Mar 2022 CE 35800.00
124706,N,D,53417,BANKNIFTY 24 Mar 2022 CE 35900.00,XX,2022-03-24 14:30:00,CE,35900.0, ,BANKNIFTY,BANKNIFTY 24 Mar 2022 CE 35900.00
124716,N,D,53427,BANKNIFTY 24 Mar 2022 CE 36000.00,XX,2022-03-24 14:30:00,CE,36000.0, ,BANKNIFTY,BANKNIFTY 24 Mar 2022 CE 36000.00
124718,N,D,53429,BANKNIFTY 24 Mar 2022 CE 36100.00,XX,2022-03-24 14:30:00,CE,36100.0, ,BANKNIFTY,BANKNIFTY 24 Mar 2022 CE 36100.00
124720,N,D,53431,BANKNIFTY 24 Mar 2022 CE 36200.00,XX,2022-03-24 14:30:00,CE,36200.0, ,BANKNIFTY,BANKNIFTY 24 Mar 2022 CE 36200.00
124722,N,D,53433,BANKNIFTY 24 Mar 2022 CE 36300.00,XX,2022-03-24 14:30:00,CE,36300.0, ,BANKNIFTY,BANKNIFTY 24 Mar 2022 CE 36300.00
124724,N,D,53435,BANKNIFTY 24 Mar 2022 CE 36400.00,XX,2022-03-24 14:30:00,CE,36400.0, ,BANKNIFTY,BANKNIFTY 24 Mar 2022 CE 36400.00
124726,N,D,53437,BANKNIFTY 24 Mar 2022 CE 36500.00,XX,2022-03-24 14:30:00,CE,36500.0, ,BANKNIFTY,BANKNIFTY 24 Mar 2022 CE 36500.00
124728,N,D,53439,BANKNIFTY 24 Mar 2022 CE 36600.00,XX,2022-03-24 14:30:00,CE,36600.0, ,BANKNIFTY,BANKNIFTY 24 Mar 2022 CE 36600.00
124730,N,D,53441,BANKNIFTY 24 Mar 2022 CE 36700.00,XX,2022-03-24 14:30:00,CE,36700.0, ,BANKNIFTY,BANKNIFTY 24 Mar 2022 CE 36700.00
124753,N,D,53558,BANKNIFTY 24 Mar 2022 CE 37800.00,XX,2022-03-24 14:30:00,CE,37800.0, ,BANKNIFTY,BANKNIFTY 24 Mar 2022 CE 37800.00
124763,N,D,53568,BANKNIFTY 24 Mar 2022 CE 37900.00,XX,2022-03-24 14:30:00,CE,37900.0, ,BANKNIFTY,BANKNIFTY 24 Mar 2022 CE 37900.00
