,Exch,ExchType,Scripcode,Name,Series,Expiry,CpType,StrikeRate,WireCat,ISIN,FullName,LotSize,AllowedToTrade,QtyLimit,Multiplier,Underlyer,Root,TickSize
61623,N,D,49274,BANKNIFTY 03 Nov 2022 PE 37900.00,XX,2022-11-03 14:30:00,PE,37900.0, ,BANKNIFTY,BANKNIFTY 03 Nov 2022 PE 37900.00,25,Y,1200,1,03 Nov 2022,BANKNIFTY,0.05
61625,N,D,49276,BANKNIFTY 03 Nov 2022 PE 38000.00,XX,2022-11-03 14:30:00,PE,38000.0, ,BANKNIFTY,BANKNIFTY 03 Nov 2022 PE 38000.00,25,Y,1200,1,03 Nov 2022,BANKNIFTY,0.05
61627,N,D,49278,BANKNIFTY 03 Nov 2022 PE 38100.00,XX,2022-11-03 14:30:00,PE,38100.0, ,BANKNIFTY,BANKNIFTY 03 Nov 2022 PE 38100.00,25,Y,1200,1,03 Nov 2022,BANKNIFTY,0.05
61629,N,D,49280,BANKNIFTY 03 Nov 2022 PE 38200.00,XX,2022-11-03 14:30:00,PE,38200.0, ,BANKNIFTY,BANKNIFTY 03 Nov 2022 PE 38200.00,25,Y,1200,1,03 Nov 2022,BANKNIFTY,0.05
61631,N,D,49282,BANKNIFTY 03 Nov 2022 PE 38300.00,XX,2022-11-03 14:30:00,PE,38300.0, ,BANKNIFTY,BANKNIFTY 03 Nov 2022 PE 38300.00,25,Y,1200,1,03 Nov 2022,BANKNIFTY,0.05
61633,N,D,49284,BANKNIFTY 03 Nov 2022 PE 38400.00,XX,2022-11-03 14:30:00,PE,38400.0, ,BANKNIFTY,BANKNIFTY 03 Nov 2022 PE 38400.00,25,Y,1200,1,03 Nov 2022,BANKNIFTY,0.05
61635,N,D,49286,BANKNIFTY 03 Nov 2022 PE 38500.00,XX,2022-11-03 14:30:00,PE,38500.0, ,BANKNIFTY,BANKNIFTY 03 Nov 2022 PE 38500.00,25,Y,1200,1,03 Nov 2022,BANKNIFTY,0.05
61637,N,D,49288,BANKNIFTY 03 Nov 2022 PE 38600.00,XX,2022-11-03 14:30:00,PE,38600.0, ,BANKNIFTY,BANKNIFTY 03 Nov 2022 PE 38600.00,25,Y,1200,1,03 Nov 2022,BANKNIFTY,0.05
61639,N,D,49290,BANKNIFTY 03 Nov 2022 PE 38700.00,XX,2022-11-03 14:30:00,PE,38700.0, ,BANKNIFTY,BANKNIFTY 03 Nov 2022 PE 38700.00,25,Y,1200,1,03 Nov 2022,BANKNIFTY,0.05
61646,N,D,49297,BANKNIFTY 03 Nov 2022 PE 38800.00,XX,2022-11-03 14:30:00,PE,38800.0, ,BANKNIFTY,BANKNIFTY 03 Nov 2022 PE 38800.00,25,Y,1200,1,03 Nov 2022,BANKNIFTY,0.05
61656,N,D,49323,BANKNIFTY 03 Nov 2022 PE 39300.00,XX,2022-11-03 14:30:00,PE,39300.0, ,BANKNIFTY,BANKNIFTY 03 Nov 2022 PE 39300.00,25,Y,1200,1,03 Nov 2022,BANKNIFTY,0.05
61660,N,D,49327,BANKNIFTY 03 Nov 2022 PE 39400.00,XX,2022-11-03 14:30:00,PE,39400.0, ,BANKNIFTY,BANKNIFTY 03 Nov 2022 PE 39400.00,25,Y,1200,1,03 Nov 2022,BANKNIFTY,0.05
61662,N,D,49329,BANKNIFTY 03 Nov 2022 PE 39500.00,XX,2022-11-03 14:30:00,PE,39500.0, ,BANKNIFTY,BANKNIFTY 03 Nov 2022 PE 39500.00,25,Y,1200,1,03 Nov 2022,BANKNIFTY,0.05
61666,N,D,49371,BANKNIFTY 03 Nov 2022 PE 40000.00,XX,2022-11-03 14:30:00,PE,40000.0, ,BANKNIFTY,BANKNIFTY 03 Nov 2022 PE 40000.00,25,Y,1200,1,03 Nov 2022,BANKNIFTY,0.05
61671,N,D,49376,BANKNIFTY 03 Nov 2022 PE 40100.00,XX,2022-11-03 14:30:00,PE,40100.0, ,BANKNIFTY,BANKNIFTY 03 Nov 2022 PE 40100.00,25,Y,1200,1,03 Nov 2022,BANKNIFTY,0.05
61675,N,D,49541,BANKNIFTY 03 Nov 2022 PE 41900.00,XX,2022-11-03 14:30:00,PE,41900.0, ,BANKNIFTY,BANKNIFTY 03 Nov 2022 PE 41900.00,25,Y,1200,1,03 Nov 2022,BANKNIFTY,0.05
61678,N,D,49544,BANKNIFTY 03 Nov 2022 PE 42000.00,XX,2022-11-03 14:30:00,PE,42000.0, ,BANKNIFTY,BANKNIFTY 03 Nov 2022 PE 42000.00,25,Y,1200,1,03 Nov 2022,BANKNIFTY,0.05
61693,N,D,49568,BANKNIFTY 03 Nov 2022 PE 42400.00,XX,2022-11-03 14:30:00,PE,42400.0, ,BANKNIFTY,BANKNIFTY 03 Nov 2022 PE 42400.00,25,Y,1200,1,03 Nov 2022,BANKNIFTY,0.05
61695,N,D,49584,BANKNIFTY 03 Nov 2022 PE 42700.00,XX,2022-11-03 14:30:00,PE,42700.0, ,BANKNIFTY,BANKNIFTY 03 Nov 2022 PE 42700.00,25,Y,1200,1,03 Nov 2022,BANKNIFTY,0.05
