,Exch,ExchType,Scripcode,Name,Series,Expiry,CpType,StrikeRate,WireCat,ISIN,FullName
52894,N,D,53488,BANKNIFTY 24 Mar 2022 PE 36700.00,XX,2022-03-24 14:30:00,PE,36700.0, ,BANKNIFTY,BANKNIFTY 24 Mar 2022 PE 36700.00
52896,N,D,53490,BANKNIFTY 24 Mar 2022 PE 36800.00,XX,2022-03-24 14:30:00,PE,36800.0, ,BANKNIFTY,BANKNIFTY 24 Mar 2022 PE 36800.00
52907,N,D,53501,BANKNIFTY 24 Mar 2022 PE 36900.00,XX,2022-03-24 14:30:00,PE,36900.0, ,BANKNIFTY,BANKNIFTY 24 Mar 2022 PE 36900.00
52912,N,D,53506,BANKNIFTY 24 Mar 2022 PE 37000.00,XX,2022-03-24 14:30:00,PE,37000.0, ,BANKNIFTY,BANKNIFTY 24 Mar 2022 PE 37000.00
52917,N,D,53511,BANKNIFTY 24 Mar 2022 PE 37100.00,XX,2022-03-24 14:30:00,PE,37100.0, ,BANKNIFTY,BANKNIFTY 24 Mar 2022 PE 37100.00
52919,N,D,53513,BANKNIFTY 24 Mar 2022 PE 37200.00,XX,2022-03-24 14:30:00,PE,37200.0, ,BANKNIFTY,BANKNIFTY 24 Mar 2022 PE 37200.00
52925,N,D,53519,BANKNIFTY 24 Mar 2022 PE 37300.00,XX,2022-03-24 14:30:00,PE,37300.0, ,BANKNIFTY,BANKNIFTY 24 Mar 2022 PE 37300.00
52927,N,D,53521,BANKNIFTY 24 Mar 2022 PE 37400.00,XX,2022-03-24 14:30:00,PE,37400.0, ,BANKNIFTY,BANKNIFTY 24 Mar 2022 PE 37400.00
52931,N,D,53525,BANKNIFTY 24 Mar 2022 PE 37500.00,XX,2022-03-24 14:30:00,PE,37500.0, ,BANKNIFTY,BANKNIFTY 24 Mar 2022 PE 37500.00
52934,N,D,53528,BANKNIFTY 24 Mar 2022 PE 37600.00,XX,2022-03-24 14:30:00,PE,37600.0, ,BANKNIFTY,BANKNIFTY 24 Mar 2022 PE 37600.00
124393,N,D,53104,BANKNIFTY 24 Mar 2022 PE 34100.00,XX,2022-03-24 14:30:00,PE,34100.0, ,BANKNIFTY,BANKNIFTY 24 Mar 2022 PE 34100.00
124428,N,D,53139,BANKNIFTY 24 Mar 2022 PE 34200.00,XX,2022-03-24 14:30:00,PE,34200.0, ,BANKNIFTY,BANKNIFTY 24 Mar 2022 PE 34200.00
124434,N,D,53145,BANKNIFTY 24 Mar 2022 PE 34300.00,XX,2022-03-24 14:30:00,PE,34300.0, ,BANKNIFTY,BANKNIFTY 24 Mar 2022 PE 34300.00
124532,N,D,53243,BANKNIFTY 24 Mar 2022 PE 34400.00,XX,2022-03-24 14:30:00,PE,34400.0, ,BANKNIFTY,BANKNIFTY 24 Mar 2022 PE 34400.00
124534,N,D,53245,BANKNIFTY 24 Mar 2022 PE 34500.00,XX,2022-03-24 14:30:00,PE,34500.0, ,BANKNIFTY,BANKNIFTY 24 Mar 2022 PE 34500.00
124538,N,D,53249,BANKNIFTY 24 Mar 2022 PE 34600.00,XX,2022-03-24 14:30:00,PE,34600.0, ,BANKNIFTY,BANKNIFTY 24 Mar 2022 PE 34600.00
124540,N,D,53251,BANKNIFTY 24 Mar 2022 PE 34700.00,XX,2022-03-24 14:30:00,PE,34700.0, ,BANKNIFTY,BANKNIFTY 24 Mar 2022 PE 34700.00
124542,N,D,53253,BANKNIFTY 24 Mar 2022 PE 34800.00,XX,2022-03-24 14:30:00,PE,34800.0, ,BANKNIFTY,BANKNIFTY 24 Mar 2022 PE 34800.00
124548,N,D,53259,BANKNIFTY 24 Mar 2022 PE 34900.00,XX,2022-03-24 14:30:00,PE,34900.0, ,BANKNIFTY,BANKNIFTY 24 Mar 2022 PE 34900.00
124602,N,D,53313,BANKNIFTY 24 Mar 2022 PE 35000.00,XX,2022-03-24 14:30:00,PE,35000.0, ,BANKNIFTY,BANKNIFTY 24 Mar 2022 PE 35000.00
124606,N,D,53317,BANKNIFTY 24 Mar 2022 PE 35100.00,XX,2022-03-24 14:30:00,PE,35100.0, ,BANKNIFTY,BANKNIFTY 24 Mar 2022 PE 35100.00
124665,N,D,53376,BANKNIFTY 24 Mar 2022 PE 35200.00,XX,2022-03-24 14:30:00,PE,35200.0, ,BANKNIFTY,BANKNIFTY 24 Mar 2022 PE 35200.00
124667,N,D,53378,BANKNIFTY 24 Mar 2022 PE 35300.00,XX,2022-03-24 14:30:00,PE,35300.0, ,BANKNIFTY,BANKNIFTY 24 Mar 2022 PE 35300.00
124669,N,D,53380,BANKNIFTY 24 Mar 2022 PE 35400.00,XX,2022-03-24 14:30:00,PE,35400.0, ,BANKNIFTY,BANKNIFTY 24 Mar 2022 PE 35400.00
124698,N,D,53409,BANKNIFTY 24 Mar 2022 PE 35500.00,XX,2022-03-24 14:30:00,PE,35500.0, ,BANKNIFTY,BANKNIFTY 24 Mar 2022 PE 35500.00
124701,N,D,53412,BANKNIFTY 24 Mar 2022 PE 35600.00,XX,2022-03-24 14:30:00,PE,35600.0, ,BANKNIFTY,BANKNIFTY 24 Mar 2022 PE 35600.00
124703,N,D,53414,BANKNIFTY 24 Mar 2022 PE 35700.00,XX,2022-03-24 14:30:00,PE,35700.0, ,BANKNIFTY,BANKNIFTY 24 Mar 2022 PE 35700.00
124705,N,D,53416,BANKNIFTY 24 Mar 2022 PE 35800.00,XX,2022-03-24 14:30:00,PE,35800.0, ,BANKNIFTY,BANKNIFTY 24 Mar 2022 PE 35800.00
